Joueur;Equipe;Statut;Position;Age;ELC_Saisons;2025-26;2026-27;2027-28;2028-29;2029-30
Werenski, Zach;CBJ;;LD;28;;9583333;9583334;9583334;UFA;0
Provorov, Ivan;CBJ;;LD,RD;29;;8500000;8500000;8500000;8500000;8500000
Severson, Damon;CBJ;;LD,RD;31;;6250000;6250000;6250000;6250000;6250000
Monahan, Sean;CBJ;;C;31;;5500000;5500000;5500000;5500000;UFA
Merzlikins, Elvis;CBJ;;G;31;;5400000;5400000;UFA;0;0
Coyle, Charlie;CBJ;;C,RW;34;;5250000;UFA;0;0;0
Garland, Conor;CBJ;;RW,LW;30;;4950000;6000000;6000000;6000000;6000000
Marchment, Mason;CBJ;;LW,C;30;;4500000;UFA;0;0;0
Voronkov, Dmitri;CBJ;;C,LW;25;;4175000;4175000;RFA;0;0
Fabbro, Dante;CBJ;;RD,LD;27;;4125000;4125000;4125000;4125000;UFA
Gudbranson, Erik;CBJ;;RD;34;;4000000;UFA;0;0;0
Marchenko, Kirill;CBJ;;RW,LW;25;;3850000;3850000;RFA;0;0
Jenner, Boone;CBJ;;C,LW;32;;3750000;UFA;0;0;0
Fedotov, Ivan;CBJ;;G;29;;3275000;UFA;0;0;0
Olivier, Mathieu;CBJ;;RW,LW;29;;3000000;3000000;3000000;3000000;3000000
Wood, Miles;CBJ;;LW;30;;2500000;2500000;2500000;2500000;UFA
Heinen, Danton;CBJ;;LW,C;30;;2250000;UFA;0;0;0
Sillinger, Cole;CBJ;;C,LW;22;;2250000;RFA;0;0;0
Johnson, Kent;CBJ;;LW,RW;23;;1800000;1800000;RFA;0;0
Lundestrom, Isac;CBJ;;C,LW;26;;1300000;1300000;UFA;0;0
Zamula, Yegor;CBJ;;LD,RD;25;;1000000;RFA;0;0;0
Christiansen, Jake;CBJ;;LD;26;;975000;975000;UFA;0;0
Fantilli, Adam;CBJ;;C;21;;950000;RFA;0;0;0
Ceulemans, Corson;CBJ;;D;22;;925000;RFA;0;0;0
Williams, Jack;CBJ;;RW,C;24;;923750;RFA;0;0;0
MacDonald, Caleb;CBJ;;D;23;;922500;922500;RFA;0;0
Elick, Charlie;CBJ;;D;20;;906667;906667;906667;RFA;0
Wennberg, Alexander;CBJ;;C,LW;31;;891667;0;0;0;0
Mateychuk, Denton;CBJ;;LD,RD;21;;886666;886666;RFA;0;0
Gardner, Evan;CBJ;;G;20;;870833;870833;870833;RFA;0
Richard, Guillaume;CBJ;;D;23;;867500;867500;RFA;0;0
Keskinen, Oiva;CBJ;;C;22;;860000;860000;860000;RFA;0
Dumais, Jordan;CBJ;;RW;21;;859999;859999;RFA;0;0
Del Bel Belluz, Luca;CBJ;;C,LW;22;;859999;859999;RFA;0;0
McCue, Max;CBJ;;C;23;;858333;858333;RFA;0;0
Pinelli, Luca;CBJ;;C;20;;846666;846666;846666;RFA;0
Malatesta, James;CBJ;;LW,C;22;;841666;RFA;0;0;0
Marrelli, Luca;CBJ;;D;20;;838889;838889;838889;RFA;0
Svozil, Stanislav;CBJ;;D;23;;825000;RFA;0;0;0
Greaves, Jet;CBJ;;G;24;;812500;RFA;0;0;0
Smith, Brendan;CBJ;;D;37;;800000;UFA;0;0;0
McKown, Hunter;CBJ;;C;23;;800000;RFA;0;0;0
Lalonde, Nolan;CBJ;;G;22;;785556;785556;RFA;0;0
Sillinger, Owen;CBJ;;C,LW;28;;775000;UFA;0;0;0
Gaunce, Brendan;CBJ;;C,LW;31;;775000;UFA;0;0;0
Fasching, Hudson;CBJ;;RW;30;;775000;UFA;0;0;0
Aston-Reese, Zach;CBJ;;LW;31;;775000;UFA;0;0;0
Pyyhtia, Mikael;CBJ;;LW,RW;24;;775000;RFA;0;0;0
Sawchenko, Zachary;CBJ;;G;28;;775000;UFA;0;0;0
Mayo, Dysin;CBJ;;RD;29;;775000;UFA;0;0;0
Boqvist, Adam;CBJ;;RD;25;;533333;0;0;0;0
Berni, Tim;CBJ;;LD,RD;26;;RFA;0;0;0;0
