Joueur;Equipe;Statut;Position;Age;ELC_Saisons;2025-26;2026-27;2027-28;2028-29;2029-30
Aho, Sebastian;CAR;;C;28;;9750000;9750000;9750000;9750000;9750000
Ehlers, Nikolaj;CAR;;LW;30;;8500000;8500000;8500000;8500000;8500000
Svechnikov, Andrei;CAR;;LW,RW;25;;7750000;7750000;7750000;7750000;UFA
Miller, K'Andre;CAR;;LD;26;;7500000;7500000;7500000;7500000;7500000
Jarvis, Seth;CAR;;RW,LW;24;;7420087;7420087;7420087;7420087;7420087
Slavin, Jaccob;CAR;;LD;31;;6396062;6396062;6396062;6396062;6396062
Kotkaniemi, Jesperi;CAR;;C,LW;25;;4820000;4820000;4820000;4820000;4820000
Walker, Sean;CAR;;RD,LD;31;;3600000;3600000;3600000;3600000;UFA
Gostisbehere, Shayne;CAR;;LD;32;;3200000;3200000;UFA;0;0
Hall, Taylor;CAR;;LW;34;;3166667;3166667;3166667;UFA;0
Martinook, Jordan;CAR;;LW;33;;3050000;3050000;UFA;0;0
Chatfield, Jalen;CAR;;RD;29;;3000000;3000000;UFA;0;0
Staal, Jordan;CAR;;C;37;;2900000;2900000;UFA;0;0
Andersen, Frederik;CAR;;G;36;;2750000;UFA;0;0;0
Kochetkov, Pyotr;CAR;;G;26;;2000000;2000000;UFA;0;0
Valimaki, Juuso;CAR;;LD;27;;2000000;UFA;0;0;0
Carrier, William;CAR;;LW,RW;31;;2000000;2000000;2000000;2000000;2000000
Deslauriers, Nicolas;CAR;;LW;35;;1750000;UFA;0;0;0
Robinson, Eric;CAR;;LW,RW;30;;1700000;1700000;1700000;1700000;UFA
Reilly, Mike;CAR;;LD,RD;32;;1100000;UFA;0;0;0
Nystrom, Joel;CAR;ELC;RD;23;2025-26|2026-27|2027-28|2028-29|2029-30;925000;1225000;1225000;1225000;1225000
Nikishin, Alexander;CAR;ELC;LD;24;2025-26;925000;RFA;0;0;0
Ryabkin, Ivan;CAR;ELC;C;18;2025-26|2026-27|2027-28;918333;918333;918333;RFA;0
Nadeau, Bradly;CAR;ELC;W,C;20;2025-26|2026-27;918333;918333;RFA;0;0
Legault, Charles-Alexis;CAR;ELC;RD;22;2025-26|2026-27;915833;915833;RFA;0;0
Blake, Jackson;CAR;ELC;RW;22;2025-26|2026-27|2027-28|2028-29|2029-30;905833;5117002;5117002;5117002;5117002
Neuchev, Viktor;CAR;ELC;LW,RW;22;2025-26;870000;RFA;0;0;0
Masters, Kyle;CAR;ELC;D;22;2025-26;865000;RFA;0;0;0
Trikozov, Gleb;CAR;ELC;LW;21;2025-26|2026-27;862500;862500;RFA;0;0
Montgomery, Bryce;CAR;ELC;D;23;2025-26|2026-27;854910;854910;RFA;0;0
Khazheyev, Ruslan;CAR;ELC;G;21;2025-26|2026-27;845000;845000;RFA;0;0
Badinka, Dominik;CAR;ELC;D;20;2025-26|2026-27|2027-28;837700;837700;837700;RFA;0
Robidas, Justin;CAR;ELC;C;23;2025-26;825000;RFA;0;0;0
Stankoven, Logan;CAR;ELC;C,RW;23;2025-26|2026-27|2027-28|2028-29|2029-30;814167;6000000;6000000;6000000;6000000
Gunler, Noel;CAR;;RW;24;;813750;RFA;0;0;0
Seeley, Ronan;CAR;;D;23;;813750;RFA;0;0;0
Heimosalmi, Aleksi;CAR;ELC;D;22;2025-26;805833;RFA;0;0;0
Unger Sörum, Felix;CAR;ELC;RW;20;2025-26|2026-27|2027-28;803334;803334;803334;RFA;0
Jankowski, Mark;CAR;;C;31;;800000;UFA;0;0;0
Bussi, Brandon;CAR;;G;27;;775000;1900000;1900000;1900000;UFA
Smith, Givani;CAR;;RW,LW;28;;775000;UFA;0;0;0
Brind'Amour, Skyler;CAR;;C;26;;775000;RFA;0;0;0
Jaaska, Juha;CAR;;LW,RW;28;;775000;775000;UFA;0;0
Slavin, Josiah;CAR;;LW;27;;775000;UFA;0;0;0
Suzuki, Ryan;CAR;;C;24;;775000;0;0;0;0
Philp, Noah;CAR;;C,RW;27;;775000;UFA;0;0;0
Fensore, Domenick;CAR;;LD;24;;775000;RFA;0;0;0
Primeau, Cayden;CAR;;G;26;;775000;UFA;0;0;0
Miftakhov, Amir;CAR;;G;25;;775000;0;0;0;0
Quapp, Nikita;CAR;ELC;G;23;2025-26;775000;RFA;0;0;0
